type_acci;date;heure;commune;luminosite_accident;cond_atmos;Intersection;categorie_route;type_collision;type_vehicule_1;manoeuvre_vehicule_1;type_vehicule_2;age_usager;sexe_usager;gravite_usager;etat_usager;nombre_usagers;nb_veh;nombre_pietons;nombre_motos;nombre_vl;nombre_pl;age_usa1_categ;accident_pieton;accident_moto;categorie_vl;accident_pl;categorie_age;categorie_usagers
Leger;19/02/2010;16:45;Rueil-Malmaison;Plein jour;Autre;Hors intersection;Autoroute;Collisions en chaine;VL seul;Meme sens, Meme file;VL seul;47;Feminin;Blessee Leger;Non renseignee ;3;3;0;0;3;0;Adulte (35-49);Sans pieton;Sans moto;3 VL ou plus;Sans poids lourd;Adulte (35-49);3-5 usagers
Leger;24/02/2010;10:00;Courbevoie;Plein jour;Autre;Intersection en T;Route departementale;Collision par le cote;Motocyclette > 50 cm3 et <= 125 cm3;Sans changement de direction;Motocyclette > 50 cm3 et <= 125 cm3;31;Masculin;Indemne;Non renseignee ;2;2;0;2;0;0;Adulte jeune (25-34);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;27/02/2010;12:20;Meudon;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Scooter > 50 cm3 et <= 125 cm3;23;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Jeune adulte (18-24);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Grave;23/06/2009;13:00;Issy-les-Moulineaux;Plein jour;Autre;Intersection en T;Route departementale;Collision par l'arriere;Motocyclette > 125 cm3;Meme sens, Meme file;VL seul;26;Masculin;Indemne;Non renseignee ;3;2;0;1;1;0;Adulte jeune (25-34);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);3-5 usagers
Leger;11/02/2009;19:15;Montrouge;Nuit avec eclairage public allumee;Autre;Intersection en T;Voie commuNon renseignee le;Collision par le cote;VL seul;Manoeuvre de stationnement;Motocyclette > 125 cm3;23;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Jeune adulte (18-24);Sans pieton;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Leger;24/04/2009;17:00;Meudon;Plein jour;Autre;Hors intersection;Route Non renseignee tioNon renseignee le;Collisions multiples;Motocyclette > 50 cm3 et <= 125 cm3;Entre 2 files;VL seul;24;Feminin;Blessee Leger;Non renseignee ;3;3;0;1;1;0;Jeune adulte (18-24);Sans pieton;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);3-5 usagers
Leger;09/10/2009;10:15;Non renseignee nterre;Plein jour;Autre;Hors intersection;Autoroute;Collisions multiples;Motocyclette > 125 cm3;Entre 2 files;VL seul;31;Feminin;Indemne;Non renseignee ;3;3;0;1;2;0;Adulte jeune (25-34);Sans pieton;Avec moto;2 VL;Sans poids lourd;Adulte jeune (25-34);3-5 usagers
Grave;27/09/2009;02:50;Ville d'Avray;Nuit avec eclairage public allumee;Autre;Hors intersection;Route departementale;Sans collision;Motocyclette > 50 cm3 et <= 125 cm3;Sans changement de direction;Non renseignee ;19;Masculin;Blessee hospitalisee;Ivresse apparente;1;1;0;1;0;0;Jeune adulte (18-24);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Jeune adulte (18-24);1 usager
Leger;08/08/2009;08:40;Asnieres-sur-Seine;Plein jour;Autre;Intersection en X;Route departementale;Collision par le cote;Scooter < 50 cm3;Sans changement de direction;VL seul;46;Masculin;Blessee Leger;Non renseignee ;2;2;0;0;1;0;Adulte (35-49);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;08/12/2009;16:45;Asnieres-sur-Seine;Plein jour;Autre;Hors intersection;Route departementale;Sans collision;VL seul;Se deportant A$roite;Non renseignee ;35;Feminin;Blessee Leger;Non renseignee ;1;1;0;0;1;0;Adulte (35-49);Sans pieton ;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);1 usager
Leger;10/04/2009;20:05;La Garenne-Colombes;Plein jour;Autre;Giratoire;Route departementale;Collision par le cote;VL seul;Sans changement de direction;Scooter < 50 cm3;20;Feminin;Blessee Leger;Non renseignee ;2;2;0;0;1;0;Jeune adulte (18-24);Sans pieton;Sans moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Grave;28/09/2009;10:00;Issy-les-Moulineaux;Plein jour;Autre;Giratoire;Route departementale;Sans collision;Motocyclette > 125 cm3;Sans changement de direction;Non renseignee ;34;Masculin;Blessee hospitalisee;Non renseignee ;1;1;0;1;0;0;Adulte jeune (25-34);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);1 usager
Leger;09/03/2009;11:50;Neuilly-sur-Seine;Plein jour;Autre;Intersection en X;Route departementale;Collision par l'arriere;VL seul;Meme sens, Meme file;VL seul;61;Masculin;Indemne;Non renseignee ;2;2;0;0;2;0;Senior actif (50-64);Sans pieton;Sans moto;2 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;08/10/2009;00:15;Puteaux;Nuit sanseclairage public;Autre;Hors intersection;Route Non renseignee tioNon renseignee le;Sans collision;VL seul;Se deportant A$roite;Non renseignee ;37;Masculin;Blessee Leger;Non renseignee ;1;1;0;0;1;0;Adulte (35-49);Sans pieton ;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);1 usager
Leger;20/01/2009;15:55;Non renseignee nterre;Plein jour;Autre;Hors intersection;Autoroute;Collision par l'arriere;VL seul;Sans changement de direction;VU seul 1,5T <= PTAC <= 3,5T;53;Masculin;Blessee Leger;Non renseignee ;2;2;0;0;2;0;Senior actif (50-64);Sans pieton;Sans moto;2 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;01/01/2009;19:30;Issy-les-Moulineaux;Nuit avec eclairage public allumee;Autre;Place;Route departementale;Sans collision;Scooter < 50 cm3;Sans changement de direction;Non renseignee ;28;Masculin;Blessee Leger;Non renseignee ;1;1;0;0;0;0;Adulte jeune (25-34);Sans pieton;Sans moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);1 usager
