annee;naissances;deces;solde_naturel;taux_natalite_pour_1000;taux_mortalite_pour_1000;population;part_population_65_plus_pct;part_population_15_49_pct;pib_par_habitant_eur;taux_chomage_pct;taux_emploi_feminin_pct;niveau_education_moyen_annees;esperance_vie_totale;mortalite_infantile_pour_1000;incidence_maladies_chroniques_pour_100k;mortalite_cardiovasculaire_pour_100k;taux_fecondite_total;age_moyen_maternite;depenses_sante_pct_pib;depenses_politique_familiale_pct_pib;places_garde_pour_1000_enfants;prix_moyen_logement_eur_m2;politique_conge_parental;acces_pma;crise_sanitaire;reforme_retraites;plan_natalite
2000;807400;540600;266800;13.34;8.93;60510000;16.0;42.0;23764;9.0;55.3;10.6;79.0;4.4;3200;215;1.87;29.3;8.0;2.8;350;1500;Basique;Restreint;Non;Non;Non
2001;803900;535000;268900;13.19;8.78;60940000;16.1;41.8;24325;8.4;55.8;10.7;79.1;4.5;3250;212;1.88;29.4;8.1;2.85;354;1600;Basique;Restreint;Non;Non;Non
2002;792700;545200;247500;12.91;8.88;61390000;16.2;41.6;24934;8.7;56.1;10.7;79.3;4.2;3300;210;1.86;29.5;8.3;2.9;358;1750;Basique;Restreint;Non;Non;Non
2003;793000;562500;230500;12.83;9.1;61820000;16.3;41.4;25171;9.0;56.4;10.8;79.3;4.1;3350;208;1.87;29.5;8.5;2.95;362;1900;Basique;Restreint;Non;Réforme 2003;Non
2004;799400;519500;279900;12.84;8.35;62250000;16.4;41.2;26006;9.2;57.0;10.8;80.2;3.9;3400;205;1.9;29.6;8.6;3.0;366;2100;Étendu;Restreint;Non;Réforme 2003;Non
2005;806800;538100;268700;12.86;8.58;62730000;16.5;41.0;26966;9.3;57.6;10.9;80.2;3.8;3450;201;1.92;29.7;8.7;3.1;370;2300;Étendu;Restreint;Non;Réforme 2003;Oui
2006;829400;526900;302500;13.13;8.34;63190000;16.6;40.8;28005;9.2;58.0;11.0;80.7;3.8;3500;198;1.98;29.8;8.7;3.1;375;2500;Étendu;Restreint;Non;Réforme 2003;Oui
2007;818700;531200;287500;12.87;8.35;63600000;16.7;40.6;29218;8.4;58.7;11.0;81.0;3.6;3550;195;1.96;29.9;8.8;3.15;380;2650;Étendu;Restreint;Non;Réforme 2003;Oui
2008;828400;543500;284900;12.95;8.5;63960000;16.8;40.4;29647;7.8;59.3;11.1;81.0;3.6;3600;192;2.0;30.0;8.9;3.2;385;2750;Étendu;Restreint;Non;Réforme 2003;Oui
2009;824600;548500;276100;12.82;8.53;64300000;16.9;40.2;28890;9.5;59.0;11.1;81.2;3.5;3650;189;1.99;30.0;9.2;3.2;390;2700;Étendu;Restreint;Non;Réforme 2003;Oui
